Pixsta,web,c:4914,GBR,London,5835987,series-a,2008-06-14
myThings,advertising,c:5454,GBR,London,8000000,series-a,2006-04-01
Glaxstar,software,c:3391,GBR,Birmingham,3000000,series-a,2008-05-16
Socruise,web,c:5812,GBR,Kent,388500,angel,2008-05-01
Apertio,mobile,c:5895,GBR,Bristol,30000000,series-b,2006-02-06
ClearMyMail,public_relations,c:5909,GBR,Corby,50000,angel,2006-02-01
ClearMyMail,public_relations,c:5909,GBR,Corby,100000,angel,2007-12-01
Cloudcity,web,c:6034,GBR,London,5906548,series-a,2007-02-01
mymission2,web,c:6409,GBR,London,292385,angel,2008-05-13
RocketPlay,games_video,c:6475,GBR,London,1000000,series-a,2008-02-01
amazingtunes,games_video,c:5171,GBR,Newcastle,1032862,angel,2006-01-01
amazingtunes,games_video,c:5171,GBR,Newcastle,1569025,series-a,2007-01-01
Dreamsoft Technologies,software,c:6627,GBR,United Kingdom - Other,100000,angel,2007-09-01
mBlox,mobile,c:3955,GBR,London,22000000,series-c+,2008-01-28
Smarkets,sports,c:5332,GBR,London,200000,angel,2008-05-01
Pixy Ltd,web,c:7029,GBR,London,101077,angel,2007-09-01
Textic,mobile,c:7032,GBR,London,389653,other,2008-06-17
Moneyspyder,advertising,c:7539,GBR,London,183687,angel,2006-07-01
Astley Clarke,ecommerce,c:7581,GBR,London,5471884,series-a,2008-06-30
Playfish,games_video,c:3213,GBR,London,1000000,angel,2008-07-01
Wahanda,web,c:7978,GBR,London,2958333,series-a,2008-02-14
Videoplaza,advertising,c:8104,GBR,London,659736,angel,2008-07-10
Snagsta,search,c:8128,GBR,London,153065,angel,2007-10-01
Snagsta,search,c:8128,GBR,London,57842,angel,2008-07-01
SubHub,network_hosting,c:8689,GBR,Cardiff,1000000,angel,2005-01-01
Evi,search,c:1272,GBR,London,3977208,series-a,2008-07-29
Enigmatec,enterprise,c:9372,GBR,London,14000000,series-c+,2008-08-06
Synchronica,mobile,c:9735,GBR,Royal Tunbridge Wells,3900000,series-b,2008-02-27
Synchronica,mobile,c:9735,GBR,Royal Tunbridge Wells,3700000,series-a,2008-01-16
Synchronica,mobile,c:9735,GBR,Royal Tunbridge Wells,10000000,series-c+,2008-08-18
Qpyn,mobile,c:11033,GBR,London,891177,angel,2008-09-15
WorkHound,search,c:3352,GBR,London,950000,series-a,2008-09-01
myThings,advertising,c:5454,GBR,London,8000000,series-b,2008-10-14
SkillsTrak,enterprise,c:12278,GBR,Leeds,640000,angel,2008-01-01
The Game Creators,games_video,c:12375,GBR,Macclesfiled,25000,angel,2008-10-15
Ukash,web,c:12412,GBR,London,14400000,venture,2008-09-29
uberVU,web,c:12839,GBR,London,73105,angel,2008-09-01
Playfish,games_video,c:3213,GBR,London,17000000,series-b,2008-10-28
Salespush.com,enterprise,c:13149,GBR,London,290000,angel,2008-03-01
eCourier.co.uk,web,c:13180,GBR,London,1602870,series-a,2003-09-15
eCourier.co.uk,web,c:13180,GBR,London,3642190,series-a,2005-09-13
eCourier.co.uk,web,c:13180,GBR,London,3761686,series-a,2006-09-15
Illumix Software,software,c:13512,GBR,London,3000000,series-a,2008-11-01
eCourier.co.uk,web,c:13180,GBR,London,6064607,series-b,2007-09-01
PharmiWeb Solutions,web,c:13667,GBR,London,414041,angel,2003-10-01
Tiberium,software,c:13801,GBR,London,98064,angel,2007-01-01
Ecommo,ecommerce,c:13841,GBR,Montrose,58511,angel,2008-06-05
Moviestorm,software,c:4074,GBR,London,3000000,series-a,2008-10-01
Prospectvision,enterprise,c:14015,GBR,London,139411,angel,2008-04-28
Synthesio,software,c:14152,GBR,London,60000,angel,2006-06-18
Dexmo,network_hosting,c:14171,GBR,London,105000,angel,2006-09-01
Mayfair Gaming Group,mobile,c:14391,GBR,Alderney,250000,angel,2007-12-01
Best Before Media,news,c:14437,GBR,London,1470552,angel,2005-10-15
CompareAway,web,c:9122,GBR,Durham,1003682,angel,2008-01-01
Adjug,advertising,c:14654,GBR,London,6500000,series-b,2008-03-01
Audium Semiconductor,hardware,c:14655,GBR,Clifton,8500000,series-a,2007-09-01
Telnic,search,c:9001,GBR,London,35000000,venture,2008-07-23
artaculous,games_video,c:15229,GBR,London,10000,angel,2007-12-31
Sell My Timeshare NOW,travel,c:15427,GBR,London,8500000,venture,2008-12-16
Taptu,news,c:1959,GBR,London,9914102,series-b,2008-12-18
Songkick,music,c:1103,GBR,London,3500000,series-a,2008-12-17
CloudPay.net,software,c:15534,GBR,Salisbury Wilts,30000000,series-a,2008-12-17
mydeco,web,c:15607,GBR,London,14529276,series-a,2008-08-01
mydeco,web,c:15607,GBR,London,5150000,series-a,2007-01-01
MT DIGITAL MEDIA,web,c:15750,GBR,TBD,32000000,venture,2008-09-09
Kaazing,enterprise,c:15913,GBR,London,1000000,series-a,2008-04-29
Velocix,games_video,c:4040,GBR,London,25000000,series-c+,2008-02-22
Quick TV,enterprise,c:16651,GBR,Newcastle,1770588,series-a,2007-11-01
Quick TV,enterprise,c:16651,GBR,Newcastle,569311,angel,2008-12-01
Spoonfed,games_video,c:16923,GBR,London,160394,angel,2007-11-01
Spoonfed,games_video,c:16923,GBR,London,789211,angel,2008-06-01
FanDuel,sports,c:2640,GBR,New York,1200000,series-a,2009-01-14
Emote Games,software,c:17061,GBR,London,7994815,venture,2007-09-17
TweetDeck,software,c:7671,GBR,London,300000,angel,2009-01-01
Zoopla,real_estate,c:12900,GBR,London,5440000,series-b,2009-01-19
CacheLogic,software,c:17458,GBR,London,25000000,series-c+,2008-01-23
CacheLogic,software,c:17458,GBR,London,20000000,series-c+,2006-07-10
Dial a Dealer,other,c:17635,GBR,London,140000,angel,2008-09-01
TranslateMedia,web,c:17756,GBR,London,250000,angel,2004-09-01
Cambridge Broadband Networks,network_hosting,c:18323,GBR,London,7500000,venture,2009-02-05
The Filter,software,c:546,GBR,Bath,1200000,series-b,2009-02-18
Mtivity,software,c:19006,GBR,London,7080000,series-c+,2007-07-19
omelett.es,software,c:19044,GBR,Coventry,43833,angel,2009-01-01
Mendeley,social,c:19277,GBR,London,2000000,series-a,2009-02-25
VisualDNA,advertising,c:913,GBR,London,13550000,series-b,2009-02-25
VisConPro,ecommerce,c:19412,GBR,London,480741,angel,2004-12-09
quietrevolution,cleantech,c:19803,GBR,London,10234700,series-a,2008-09-01
ARKeX,consulting,c:20048,GBR,London,7356643,series-a,2004-03-09
Atraverda,cleantech,c:20049,GBR,Abertillery,11985784,series-a,2007-03-07
BioVex,biotech,c:20050,GBR,Oxon,35000000,series-c+,2007-11-01
CamSemi,cleantech,c:20051,GBR,London,5987940,series-a,2003-01-15
Futuretec,cleantech,c:20052,GBR,Aberdeen,8065398,series-a,2008-03-27
Chronicle Solutions,network_hosting,c:20055,GBR,London,5520000,series-a,2006-06-13
Cmed,consulting,c:20057,GBR,London,5000000,series-a,2008-11-24
Essential Viewing,enterprise,c:20059,GBR,Glasgow,2180176,series-a,2001-11-11
Fotech,cleantech,c:20060,GBR,London,12911358,series-a,2008-06-26
ip.access,software,c:20064,GBR,Cambourne,14683330,venture,2006-03-13
KAL,software,c:20154,GBR,Edinburgh,3493737,venture,2001-05-01
Sift,software,c:20167,GBR,Bristol,4126789,series-a,1999-10-01
RadioScape,hardware,c:20168,GBR,London,22274927,series-a,2001-12-10
Surfkitchen,mobile,c:20172,GBR,London,17414120,series-a,2004-07-29
Verisim,software,c:20392,GBR,Edinburgh,2205565,series-a,2004-06-07
