Slicethepie,games_video,c:3298,GBR,United Kingdom - Other,1600000,series-a,2007-06-18
Slicethepie,games_video,c:3298,GBR,United Kingdom - Other,1200000,series-b,2007-06-18
Trampoline Systems,enterprise,c:4011,GBR,London,400000,angel,2003-10-01
Trampoline Systems,enterprise,c:4011,GBR,London,400000,angel,2003-10-01
Trampoline Systems,enterprise,c:4011,GBR,London,5810000,venture,2003-10-01
Tideway,software,c:4021,GBR,London,,series-a,2002-01-01
Tideway,software,c:4021,GBR,London,,angel,2002-01-01
Tideway,software,c:4021,GBR,London,27000000,series-c+,2002-01-01
Moviestorm,software,c:4074,GBR,London,724139,angel,2005-06-01
Moviestorm,software,c:4074,GBR,London,1776420,series-a,2005-06-01
TrustedPlaces,advertising,c:4111,GBR,London,1000000,angel,2006-04-01
vzaar,web,c:4158,GBR,London,3000000,series-a,2007-04-01
Zygo Communications,mobile,c:4177,GBR,Londdon,,angel,2005-06-21
Logicalware,software,c:4178,GBR,Edinburgh,546467,angel,2002-01-01
mymission2,web,c:6409,GBR,London,,angel,2008-04-01
Talicious,network_hosting,c:4701,GBR,London,10000,venture,2006-03-14
Mind Candy,web,c:4876,GBR,London,10000000,venture,2003-01-01
BView,network_hosting,c:5247,GBR,London,4014727,series-a,2008-03-01
Pixsta,web,c:4914,GBR,London,,angel,2010-01-01
Pixsta,web,c:4914,GBR,London,5835987,series-a,2010-01-01
TouchLocal,search,c:5244,GBR,London,,series-a,2004-01-01
myThings,advertising,c:5454,GBR,London,8000000,series-a,2005-01-01
Glaxstar,software,c:3391,GBR,Birmingham,3000000,series-a,2000-01-01
Socruise,web,c:5812,GBR,Kent,388500,angel,2008-05-09
Apertio,mobile,c:5895,GBR,Bristol,30000000,series-b,
ClearMyMail,public_relations,c:5909,GBR,Corby,50000,angel,2006-02-01
ClearMyMail,public_relations,c:5909,GBR,Corby,100000,angel,2006-02-01
Cloudcity,web,c:6034,GBR,London,5906548,series-a,2007-02-01
mymission2,web,c:6409,GBR,London,292385,angel,2008-04-01
RocketPlay,games_video,c:6475,GBR,London,1000000,series-a,2007-11-01
amazingtunes,games_video,c:5171,GBR,Newcastle,1032862,angel,2006-01-01
amazingtunes,games_video,c:5171,GBR,Newcastle,1569025,series-a,2006-01-01
Dreamsoft Technologies,software,c:6627,GBR,United Kingdom - Other,100000,angel,2007-06-06
Vigster,games_video,c:6859,GBR,London,82772,venture,
mBlox,mobile,c:3955,GBR,London,22000000,series-c+,1999-01-01
Kindo Network,network_hosting,c:2413,GBR,London,,angel,2007-04-01
Kindo Network,network_hosting,c:2413,GBR,London,,angel,2007-04-01
Smarkets,sports,c:5332,GBR,London,200000,angel,2008-01-01
FuelMyBlog,network_hosting,c:3417,GBR,Sheffield,,angel,2007-07-01
Pixy Ltd,web,c:7029,GBR,London,101077,angel,2006-05-01
Textic,mobile,c:7032,GBR,London,389653,other,2005-01-01
Moneyspyder,advertising,c:7539,GBR,London,183687,angel,2006-07-01
Astley Clarke,ecommerce,c:7581,GBR,London,5471884,series-a,1996-01-01
GlocalReach,mobile,c:7738,GBR,London,200000,angel,2007-01-01
Playfish,games_video,c:3213,GBR,London,1000000,angel,2007-10-01
Wahanda,web,c:7978,GBR,London,2958333,series-a,2008-02-14
Videoplaza,advertising,c:8104,GBR,London,659736,angel,2007-11-01
Snagsta,search,c:8128,GBR,London,153065,angel,2007-07-01
Snagsta,search,c:8128,GBR,London,57842,angel,2007-07-01
Kappa Prime,web,c:8140,GBR,London,,angel,2008-02-01
SubHub,network_hosting,c:8689,GBR,Cardiff,1000000,angel,2005-01-01
Evi,search,c:1272,GBR,London,3977208,series-a,2005-08-01
Salespush.com,enterprise,c:13149,GBR,London,,angel,2008-04-01
BeLocal,web,c:9112,GBR,Hessett,,angel,2008-01-01
